code,location,registered,envelopes,valid,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
567931,Dolní Zálezly,462,316,99.68,102,0,0,0,1,35,6,3,39,2,1,0,1,0,21,5,2,4,36,14,28,14,0,0
567957,Habrovany,182,101,99.01,42,2,0,0,1,19,2,0,5,1,0,0,1,1,2,0,3,0,14,2,1,4,0,0
567973,Homole u Panny,315,199,99.49,86,0,1,0,0,22,1,0,25,1,1,0,0,0,2,0,1,1,20,5,19,12,0,0
568007,Chabařovice,2014,1120,99.29,410,1,4,1,1,105,30,6,109,5,15,1,2,3,47,10,12,22,151,34,80,60,1,1
568015,Chlumec,3591,2064,99.61,786,1,0,3,9,188,21,7,189,18,20,2,2,11,115,20,36,25,222,79,175,122,0,3
568023,Chuderov,832,523,99.43,169,1,0,2,1,36,9,2,84,2,2,0,1,1,22,0,10,6,67,26,49,29,0,1
568058,Libouchec,1486,903,99.56,311,1,3,0,2,103,4,3,103,4,10,4,0,3,33,3,17,19,136,9,75,55,0,1
568091,Malé Březno,442,229,99.56,108,0,0,0,0,15,2,0,27,0,1,0,1,0,9,1,2,1,26,4,17,14,0,0
568104,Malečov,650,400,98.75,128,0,0,0,1,59,9,10,38,1,2,0,1,2,11,4,3,14,40,26,33,13,0,0
568147,Petrovice,569,302,99.34,108,1,0,1,3,44,3,1,22,3,2,1,0,3,13,5,2,7,33,8,31,9,0,0
568155,Povrly,1827,974,99.79,375,1,0,15,6,89,8,1,86,7,11,3,2,2,37,7,10,14,122,35,77,63,0,1
530620,Přestanov,305,229,100.00,92,0,0,0,2,17,3,1,30,2,0,0,1,0,10,1,5,2,29,5,17,11,0,0
546186,Ryjice,198,131,99.24,35,0,0,0,2,18,1,0,8,0,2,0,2,1,9,0,0,0,33,2,7,10,0,0
568201,Řehlovice,1114,641,99.53,243,3,2,0,5,60,16,1,71,4,6,1,0,1,25,2,1,6,87,20,52,28,0,4
546925,Stebno,395,228,99.56,103,1,0,0,0,27,1,0,11,1,1,0,1,0,11,1,0,4,37,0,19,9,0,0
568287,Tašov,107,74,100.00,35,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0,9,2,4,15,0,0
568295,Telnice,574,380,99.47,162,2,1,0,1,35,2,1,19,0,2,0,2,3,12,4,3,6,67,13,34,9,0,0
568309,Tisá,761,520,99.42,125,0,0,0,1,42,9,4,101,4,2,1,0,3,23,0,7,17,51,41,63,20,0,2
553697,Trmice,2443,939,98.19,299,2,0,1,3,96,12,4,47,3,13,1,0,4,92,3,8,34,143,17,59,77,0,4
554804,Ústí nad Labem,73030,37753,99.43,13646,43,40,64,176,3276,710,201,3485,313,210,28,50,129,1441,198,570,657,4540,1742,3577,2372,5,46
568350,Velké Březno,1794,1097,99.82,462,0,1,1,7,65,18,0,117,13,11,2,0,0,37,2,19,10,151,48,70,57,1,3
555223,Velké Chvojno,647,406,99.75,128,0,0,1,3,48,4,1,44,3,5,0,1,1,19,0,8,11,69,17,31,11,0,0
568384,Zubrnice,200,138,99.28,39,1,0,0,4,23,1,0,16,0,2,0,0,0,8,0,1,1,13,6,11,11,0,0
